country, product, quantity, price
GH,Product 90,56,16.34
GH,Product 91,79,77.10
NG,Product 92,67,3.32
NG,Product 93,84,56.76
NG,Product 94,56,15.02
KE,Product 95,54,69.22
MA,Product 96,16,28.17
ZA,Product 97,55,83.22
KE,Product 98,59,19.67
GH,Product 99,21,48.62
NG,Product 100,76,27.23
KE,Product 101,36,87.93
ZA,Product 102,73,87.47
MA,Product 103,22,41.06
ZA,Product 104,19,54.63
KE,Product 105,28,17.23
GH,Product 106,73,98.88
MA,Product 107,98,60.05
MA,Product 108,91,43.94
NG,Product 109,0,48.30
GH,Product 110,56,81.64
MA,Product 111,58,13.67
NG,Product 112,89,37.42
KE,Product 113,87,74.28
MA,Product 114,50,76.96
KE,Product 115,75,81.84
KE,Product 116,73,30.17
KE,Product 117,73,11.50
KE,Product 118,23,33.07
ZA,Product 119,4,19.69
MA,Product 120,43,63.21
NG,Product 121,40,73.34
MA,Product 122,73,16.51
NG,Product 123,90,63.66
ZA,Product 124,16,91.70
GH,Product 125,13,95.76
KE,Product 126,78,63.52
GH,Product 127,77,46.33
KE,Product 128,94,9.83
GH,Product 129,19,16.42
MA,Product 130,28,45.45
KE,Product 131,25,91.18
MA,Product 132,95,66.18
KE,Product 133,15,2.99
ZA,Product 134,93,24.56
NG,Product 135,41,92.85
ZA,Product 136,56,94.18
GH,Product 137,41,18.47
MA,Product 138,83,95.29
KE,Product 139,70,9.44
KE,Product 140,4,95.76
GH,Product 141,15,12.66
NG,Product 142,39,46.46
ZA,Product 143,26,0.70
ZA,Product 144,99,21.43
GH,Product 145,45,9.29
ZA,Product 146,55,14.66
MA,Product 147,88,70.72
KE,Product 148,64,68.76
NG,Product 149,16,77.99
KE,Product 150,39,97.72
ZA,Product 151,92,62.56
ZA,Product 152,85,50.95
ZA,Product 153,40,78.75
MA,Product 154,86,9.20
ZA,Product 155,99,23.32
MA,Product 156,86,87.72
NG,Product 157,58,13.08
GH,Product 158,91,11.30
MA,Product 159,99,89.69
NG,Product 160,35,3.97
KE,Product 161,46,84.42
ZA,Product 162,2,25.57
NG,Product 163,18,35.24
ZA,Product 164,74,11.58
GH,Product 165,78,99.89
KE,Product 166,29,30.28
ZA,Product 167,91,62.44
NG,Product 168,61,70.97
GH,Product 169,16,15.56
NG,Product 170,82,73.56
ZA,Product 171,90,27.56
MA,Product 172,24,66.87
GH,Product 173,43,11.86
ZA,Product 174,72,17.35
GH,Product 175,33,7.35
ZA,Product 176,55,20.63
NG,Product 177,29,17.35
ZA,Product 178,85,5.91
MA,Product 179,18,72.15
ZA,Product 180,50,79.09
MA,Product 181,7,3.13
GH,Product 182,95,44.82
MA,Product 183,93,95.39
ZA,Product 184,29,19.03
ZA,Product 185,63,56.59
MA,Product 186,13,94.62
MA,Product 187,1,54.11
MA,Product 188,17,93.43
KE,Product 189,28,66.49
ZA,Product 190,45,19.21
MA,Product 191,28,81.78
ZA,Product 192,83,79.55
MA,Product 193,65,47.31
ZA,Product 194,13,91.86
ZA,Product 195,68,42.49
KE,Product 196,41,0.56
ZA,Product 197,53,35.67
ZA,Product 198,87,67.49
GH,Product 199,98,20.73
GH,Product 200,19,81.14
ZA,Product 201,62,32.18
GH,Product 202,87,85.63
KE,Product 203,2,60.35
GH,Product 204,33,3.77
GH,Product 205,55,20.70
NG,Product 206,8,34.19
ZA,Product 207,3,38.11
GH,Product 208,90,71.56
GH,Product 209,70,77.29
KE,Product 210,10,5.84
KE,Product 211,68,4.61
GH,Product 212,62,78.50
NG,Product 213,63,84.44
GH,Product 214,26,1.64
ZA,Product 215,14,5.47
NG,Product 216,38,62.05
MA,Product 217,98,24.63
MA,Product 218,25,33.98
MA,Product 219,22,0.27
ZA,Product 220,65,21.33
GH,Product 221,44,43.47
MA,Product 222,0,85.81
GH,Product 223,66,19.41
ZA,Product 224,67,83.48
NG,Product 225,47,48.25
NG,Product 226,5,96.67
GH,Product 227,98,94.72
MA,Product 228,71,63.42
NG,Product 229,97,14.54
KE,Product 230,81,83.16
KE,Product 231,6,41.30
GH,Product 232,93,25.84
NG,Product 233,6,3.01
GH,Product 234,31,39.66
GH,Product 235,58,67.61
NG,Product 236,3,96.97
MA,Product 237,77,85.03
NG,Product 238,79,21.58
MA,Product 239,78,25.64
GH,Product 240,70,36.34
NG,Product 241,59,30.67
GH,Product 242,29,63.18
GH,Product 243,65,3.71
MA,Product 244,70,36.25
ZA,Product 245,93,63.84
MA,Product 246,65,41.85
ZA,Product 247,67,0.75
KE,Product 248,94,10.24
ZA,Product 249,80,66.40
ZA,Product 250,78,47.91
ZA,Product 251,14,48.31
ZA,Product 252,83,61.02
GH,Product 253,35,69.32
ZA,Product 254,60,92.99
ZA,Product 255,95,18.86
NG,Product 256,99,13.74
MA,Product 257,47,29.72
GH,Product 258,66,73.94
MA,Product 259,43,82.12
ZA,Product 260,64,69.99
NG,Product 261,93,7.01
GH,Product 262,62,8.27
GH,Product 263,55,81.82
ZA,Product 264,15,50.26
KE,Product 265,22,47.36
KE,Product 266,49,28.29
GH,Product 267,60,81.48
ZA,Product 268,93,1.01
MA,Product 269,83,68.08
MA,Product 270,11,34.64
MA,Product 271,80,33.01
MA,Product 272,4,25.89
MA,Product 273,10,56.05
NG,Product 274,59,58.94
GH,Product 275,90,41.55
GH,Product 276,75,88.31
KE,Product 277,50,58.73
MA,Product 278,96,1.24
MA,Product 279,64,79.28
MA,Product 280,91,55.82
ZA,Product 281,98,59.74
NG,Product 282,45,97.31
MA,Product 283,92,37.79
ZA,Product 284,44,84.70
ZA,Product 285,9,42.60
ZA,Product 286,94,96.87
GH,Product 287,98,21.66
KE,Product 288,50,46.59
KE,Product 289,18,90.41
MA,Product 290,72,11.59
GH,Product 291,3,38.98
KE,Product 292,67,12.66
ZA,Product 293,79,60.42
KE,Product 294,76,73.31
GH,Product 295,75,13.29
NG,Product 296,46,48.97
GH,Product 297,2,95.71
ZA,Product 298,67,98.13
NG,Product 299,46,48.55
ZA,Product 300,25,11.94
ZA,Product 301,45,58.34
ZA,Product 302,49,67.02
ZA,Product 303,8,47.16
GH,Product 304,25,46.23
ZA,Product 305,37,29.01
ZA,Product 306,58,20.41
NG,Product 307,64,98.89
NG,Product 308,93,94.99
MA,Product 309,74,54.93
NG,Product 310,33,95.16
KE,Product 311,63,52.87
KE,Product 312,54,7.72
ZA,Product 313,22,53.41
MA,Product 314,83,62.12
NG,Product 315,10,54.27
ZA,Product 316,40,85.16
ZA,Product 317,25,69.07
GH,Product 318,85,9.48
MA,Product 319,17,61.41
ZA,Product 320,88,31.93
MA,Product 321,50,58.85
ZA,Product 322,74,9.86
MA,Product 323,59,35.62
ZA,Product 324,79,57.63
MA,Product 325,89,78.63
NG,Product 326,62,68.31
ZA,Product 327,93,65.03
NG,Product 328,38,97.42
NG,Product 329,43,22.70
GH,Product 330,24,40.86
ZA,Product 331,22,77.11
ZA,Product 332,76,58.45
MA,Product 333,66,15.61
ZA,Product 334,46,57.03
ZA,Product 335,9,16.78
NG,Product 336,15,89.98
NG,Product 337,9,29.74
GH,Product 338,26,78.88
MA,Product 339,0,36.61
MA,Product 340,53,85.00
KE,Product 341,50,8.82
MA,Product 342,48,36.67
ZA,Product 343,61,25.31
ZA,Product 344,85,45.60
GH,Product 345,18,1.83
GH,Product 346,84,7.31
NG,Product 347,93,25.84
ZA,Product 348,68,43.06
ZA,Product 349,17,28.36
KE,Product 350,19,69.61
ZA,Product 351,94,10.89
NG,Product 352,5,21.35
KE,Product 353,77,60.17
GH,Product 354,83,19.02
MA,Product 355,4,95.74
NG,Product 356,7,58.95
KE,Product 357,65,61.94
ZA,Product 358,44,59.03
GH,Product 359,0,42.78
GH,Product 360,3,54.85
NG,Product 361,30,55.32
ZA,Product 362,12,52.87
NG,Product 363,34,26.05
ZA,Product 364,48,39.44
ZA,Product 365,50,94.79
NG,Product 366,70,88.89
NG,Product 367,21,64.63
MA,Product 368,13,91.39
GH,Product 369,61,97.48
GH,Product 370,73,51.84
NG,Product 371,88,26.66
NG,Product 372,49,55.08
KE,Product 373,46,98.06
MA,Product 374,79,25.45
MA,Product 375,44,13.85
KE,Product 376,18,77.37
NG,Product 377,99,9.29
MA,Product 378,37,5.58
ZA,Product 379,68,25.31
ZA,Product 380,0,74.79
NG,Product 381,25,24.07
ZA,Product 382,37,28.33
MA,Product 383,68,88.97
ZA,Product 384,12,35.68
GH,Product 385,95,59.02
KE,Product 386,79,8.75
GH,Product 387,92,52.62
ZA,Product 388,44,55.95
GH,Product 389,61,47.43
GH,Product 390,93,86.06
GH,Product 391,52,27.36
GH,Product 392,75,60.10
MA,Product 393,46,97.93
GH,Product 394,68,38.36
ZA,Product 395,29,71.63
ZA,Product 396,14,8.99
MA,Product 397,86,91.71
NG,Product 398,2,37.18
NG,Product 399,31,93.13
MA,Product 400,73,52.11
GH,Product 401,79,60.88
GH,Product 402,14,63.07
GH,Product 403,74,89.69
ZA,Product 404,21,6.33
KE,Product 405,84,27.61
NG,Product 406,13,1.88
GH,Product 407,14,19.50
GH,Product 408,66,64.10
KE,Product 409,32,27.27
MA,Product 410,60,13.21
MA,Product 411,90,86.02
MA,Product 412,29,99.03
GH,Product 413,61,27.83
NG,Product 414,54,18.74
MA,Product 415,81,14.88
KE,Product 416,28,35.34
ZA,Product 417,54,36.08
GH,Product 418,16,88.26
KE,Product 419,78,93.61
ZA,Product 420,24,83.55
KE,Product 421,14,99.00
KE,Product 422,52,55.24
MA,Product 423,88,40.57
MA,Product 424,25,7.25
GH,Product 425,16,85.91
NG,Product 426,97,22.16
NG,Product 427,61,35.31
NG,Product 428,54,21.49
NG,Product 429,33,23.05
ZA,Product 430,77,43.10
NG,Product 431,54,33.28
MA,Product 432,78,47.55
ZA,Product 433,92,41.65
MA,Product 434,25,87.77
ZA,Product 435,13,47.91
ZA,Product 436,98,93.86
ZA,Product 437,54,56.15
GH,Product 438,73,7.05
NG,Product 439,1,36.33
ZA,Product 440,2,79.61
KE,Product 441,34,22.28
KE,Product 442,7,66.32
ZA,Product 443,76,13.70
ZA,Product 444,60,66.39
MA,Product 445,93,72.95
GH,Product 446,36,65.59
KE,Product 447,90,22.12
KE,Product 448,1,72.44
KE,Product 449,28,51.67
MA,Product 450,6,86.94
KE,Product 451,36,57.03
ZA,Product 452,66,0.62
GH,Product 453,93,59.24
MA,Product 454,39,84.20
ZA,Product 455,26,2.58
GH,Product 456,85,47.44
MA,Product 457,62,31.30
KE,Product 458,72,41.36
KE,Product 459,48,95.58
ZA,Product 460,34,60.68
GH,Product 461,11,81.46
NG,Product 462,50,85.17
GH,Product 463,17,60.98
NG,Product 464,40,37.84
KE,Product 465,66,5.77
NG,Product 466,31,31.28
MA,Product 467,41,60.67
ZA,Product 468,13,13.94
MA,Product 469,78,58.72
GH,Product 470,59,94.78
KE,Product 471,38,83.05
MA,Product 472,84,26.31
ZA,Product 473,39,68.73
GH,Product 474,39,17.10
KE,Product 475,3,30.46
GH,Product 476,38,43.52
GH,Product 477,37,88.25
GH,Product 478,25,54.22
KE,Product 479,36,26.00
MA,Product 480,50,0.68
GH,Product 481,20,48.36
KE,Product 482,9,26.81
GH,Product 483,19,24.12
MA,Product 484,89,40.06
KE,Product 485,82,33.47
MA,Product 486,48,27.03
MA,Product 487,65,15.68
KE,Product 488,61,51.50
NG,Product 489,46,86.63
KE,Product 490,41,21.24
GH,Product 491,52,79.16
GH,Product 492,41,8.24
KE,Product 493,29,47.86
ZA,Product 494,42,97.26
GH,Product 495,70,49.79
KE,Product 496,20,33.51
ZA,Product 497,42,48.36
KE,Product 498,23,85.96
GH,Product 499,10,53.41
KE,Product 500,83,10.09
NG,Product 501,10,53.44
MA,Product 502,61,84.62
GH,Product 503,24,14.14
NG,Product 504,80,84.25
KE,Product 505,17,8.29
NG,Product 506,27,79.14
MA,Product 507,14,34.68
GH,Product 508,36,85.71
KE,Product 509,96,62.80
GH,Product 510,31,88.30
KE,Product 511,99,50.33
ZA,Product 512,3,45.36
KE,Product 513,4,82.15
KE,Product 514,75,83.33
MA,Product 515,81,55.43
NG,Product 516,26,48.56
GH,Product 517,15,77.49
MA,Product 518,86,19.39
ZA,Product 519,65,19.01
MA,Product 520,74,35.66
GH,Product 521,98,33.76
ZA,Product 522,53,68.46
NG,Product 523,31,5.38
MA,Product 524,92,36.87
MA,Product 525,89,60.98
KE,Product 526,70,94.37
GH,Product 527,72,7.78
GH,Product 528,16,65.55
ZA,Product 529,79,28.04
GH,Product 530,59,62.74
ZA,Product 531,98,75.00
MA,Product 532,1,59.10
MA,Product 533,20,2.54
GH,Product 534,56,75.58
NG,Product 535,4,70.13
KE,Product 536,37,33.96
NG,Product 537,39,34.72
MA,Product 538,28,26.17
NG,Product 539,3,47.05
KE,Product 540,73,38.31
ZA,Product 541,41,34.09
ZA,Product 542,68,4.46
ZA,Product 543,30,48.09
ZA,Product 544,40,63.75
GH,Product 545,34,71.66
ZA,Product 546,53,11.43
MA,Product 547,42,13.53
GH,Product 548,42,99.78
GH,Product 549,15,8.78
GH,Product 550,68,45.52
MA,Product 551,59,22.83
NG,Product 552,92,72.71
NG,Product 553,66,52.64
MA,Product 554,30,32.57
KE,Product 555,16,60.90
KE,Product 556,27,52.13
NG,Product 557,23,23.11
KE,Product 558,69,53.78
KE,Product 559,75,91.36
ZA,Product 560,79,61.12
KE,Product 561,93,50.30
KE,Product 562,56,31.20
NG,Product 563,91,42.44
ZA,Product 564,78,48.90
KE,Product 565,56,32.35
NG,Product 566,16,96.82
NG,Product 567,60,40.28
MA,Product 568,58,58.37
GH,Product 569,62,39.43
GH,Product 570,12,32.41
MA,Product 571,46,98.86
NG,Product 572,21,86.50
ZA,Product 573,13,53.84
ZA,Product 574,1,93.57
ZA,Product 575,87,73.78
MA,Product 576,26,56.48
NG,Product 577,64,89.36
GH,Product 578,15,26.68
ZA,Product 579,45,99.99
ZA,Product 580,32,74.44
GH,Product 581,95,39.40
GH,Product 582,48,68.05
ZA,Product 583,24,41.23
ZA,Product 584,1,20.49
GH,Product 585,2,22.60
ZA,Product 586,93,88.80
NG,Product 587,75,48.14
KE,Product 588,97,59.70
NG,Product 589,44,90.72
NG,Product 590,62,86.58
NG,Product 591,12,83.02
MA,Product 592,92,8.20
KE,Product 593,88,23.25
NG,Product 594,77,92.30
GH,Product 595,19,38.90
NG,Product 596,11,96.59
NG,Product 597,2,27.92
MA,Product 598,94,21.01
GH,Product 599,70,65.30
ZA,Product 600,67,7.14
KE,Product 601,24,90.57
GH,Product 602,58,86.74
NG,Product 603,59,97.33
NG,Product 604,24,41.41
GH,Product 605,56,67.94
MA,Product 606,5,17.39
GH,Product 607,13,48.32
MA,Product 608,34,75.93
NG,Product 609,23,75.06
GH,Product 610,65,98.59
KE,Product 611,95,84.88
NG,Product 612,59,13.14
MA,Product 613,95,2.09
GH,Product 614,41,85.17
NG,Product 615,58,79.86
GH,Product 616,35,16.84
KE,Product 617,62,40.94
MA,Product 618,25,2.77
ZA,Product 619,31,73.33
ZA,Product 620,75,20.84
ZA,Product 621,67,17.32
GH,Product 622,41,48.64
NG,Product 623,28,55.25
KE,Product 624,70,36.54
ZA,Product 625,12,37.91
MA,Product 626,45,98.96
GH,Product 627,18,93.36
ZA,Product 628,8,2.94
ZA,Product 629,99,25.76
KE,Product 630,80,12.21
GH,Product 631,81,91.00
ZA,Product 632,6,92.34
GH,Product 633,76,63.30
ZA,Product 634,20,42.12
GH,Product 635,44,30.70
NG,Product 636,12,5.84
KE,Product 637,85,61.41
MA,Product 638,62,90.63
KE,Product 639,76,94.62
KE,Product 640,30,19.96
MA,Product 641,52,51.49
NG,Product 642,60,25.89
ZA,Product 643,76,90.03
MA,Product 644,13,61.30
ZA,Product 645,99,69.74
ZA,Product 646,83,56.79
KE,Product 647,50,27.49
NG,Product 648,93,7.89
GH,Product 649,25,95.69
GH,Product 650,8,97.72
GH,Product 651,93,41.05
NG,Product 652,32,48.76
GH,Product 653,18,94.77
ZA,Product 654,17,31.44
KE,Product 655,97,8.25
GH,Product 656,14,42.85
KE,Product 657,21,31.73
MA,Product 658,0,17.27
NG,Product 659,31,91.24
NG,Product 660,60,79.68
KE,Product 661,63,56.98
NG,Product 662,0,60.02
GH,Product 663,40,57.29
MA,Product 664,68,5.82
GH,Product 665,50,28.17
KE,Product 666,70,25.03
MA,Product 667,79,58.94
MA,Product 668,66,1.33
MA,Product 669,30,21.05
GH,Product 670,58,95.37
GH,Product 671,48,73.65
NG,Product 672,47,54.89
KE,Product 673,51,1.28
NG,Product 674,18,12.21
KE,Product 675,17,71.88
ZA,Product 676,92,23.59
NG,Product 677,89,29.06
MA,Product 678,16,61.89
ZA,Product 679,10,7.31
ZA,Product 680,65,43.99
NG,Product 681,94,69.45
ZA,Product 682,39,24.23
GH,Product 683,86,44.23
NG,Product 684,21,92.40
ZA,Product 685,39,16.24
ZA,Product 686,68,69.67
KE,Product 687,82,16.10
NG,Product 688,39,18.42
NG,Product 689,73,53.12
NG,Product 690,46,91.40
ZA,Product 691,99,9.00
MA,Product 692,2,29.24
KE,Product 693,42,6.98
NG,Product 694,50,41.27
NG,Product 695,20,38.45
GH,Product 696,64,79.93
MA,Product 697,75,61.29
KE,Product 698,10,90.51
MA,Product 699,33,1.69
GH,Product 700,71,10.03
KE,Product 701,49,18.16
GH,Product 702,77,55.23
GH,Product 703,80,56.24
NG,Product 704,97,0.73
GH,Product 705,72,54.42
GH,Product 706,44,13.75
NG,Product 707,34,89.82
KE,Product 708,44,38.96
NG,Product 709,40,76.98
MA,Product 710,93,18.01
ZA,Product 711,13,75.17
KE,Product 712,17,74.05
GH,Product 713,41,56.78
KE,Product 714,1,16.64
KE,Product 715,78,97.48
GH,Product 716,52,84.82
NG,Product 717,50,13.27
ZA,Product 718,69,28.36
ZA,Product 719,56,9.41
ZA,Product 720,93,28.50
GH,Product 721,81,53.46
KE,Product 722,79,94.04
KE,Product 723,78,61.81
ZA,Product 724,83,37.58
KE,Product 725,15,76.05
NG,Product 726,58,40.93
MA,Product 727,67,45.02
KE,Product 728,57,77.60
KE,Product 729,49,86.93
ZA,Product 730,56,11.16
GH,Product 731,75,90.74
KE,Product 732,84,6.21
KE,Product 733,17,8.52
MA,Product 734,89,4.35
GH,Product 735,63,39.67
GH,Product 736,79,91.61
MA,Product 737,37,95.68
NG,Product 738,78,24.44
ZA,Product 739,21,33.26
NG,Product 740,10,69.38
KE,Product 741,61,14.49
MA,Product 742,16,95.06
NG,Product 743,83,51.11
ZA,Product 744,70,61.82
KE,Product 745,51,55.99
NG,Product 746,52,32.26
NG,Product 747,48,41.73
NG,Product 748,47,21.87
KE,Product 749,46,25.99
GH,Product 750,92,49.84
NG,Product 751,88,69.28
GH,Product 752,59,80.73
KE,Product 753,14,82.45
KE,Product 754,11,36.07
KE,Product 755,74,55.90
KE,Product 756,8,49.29
NG,Product 757,83,37.59
NG,Product 758,44,87.47
ZA,Product 759,60,11.47
KE,Product 760,54,13.57
MA,Product 761,88,72.03
NG,Product 762,17,97.92
GH,Product 763,55,15.05
GH,Product 764,93,98.74
NG,Product 765,12,26.09
NG,Product 766,95,6.71
GH,Product 767,75,81.65
ZA,Product 768,61,97.48
MA,Product 769,90,8.14
MA,Product 770,13,86.14
MA,Product 771,12,33.13
MA,Product 772,9,15.86
KE,Product 773,9,81.07
KE,Product 774,19,83.50
MA,Product 775,69,9.06
MA,Product 776,34,0.12
NG,Product 777,16,71.78
MA,Product 778,65,60.00
GH,Product 779,77,62.84
NG,Product 780,50,16.65
KE,Product 781,56,47.90
KE,Product 782,37,49.18
MA,Product 783,85,95.12
ZA,Product 784,74,78.56
ZA,Product 785,12,22.35
KE,Product 786,64,46.94
KE,Product 787,14,32.07
MA,Product 788,81,40.77
KE,Product 789,25,81.55
MA,Product 790,4,34.07
KE,Product 791,76,89.85
NG,Product 792,97,56.86
MA,Product 793,73,30.95
MA,Product 794,56,51.17
MA,Product 795,95,79.90
NG,Product 796,92,59.55
ZA,Product 797,62,63.79
GH,Product 798,8,0.65
NG,Product 799,34,0.98
NG,Product 800,33,47.35
GH,Product 801,90,3.75
MA,Product 802,8,63.68
ZA,Product 803,5,97.77
NG,Product 804,25,50.72
MA,Product 805,73,73.44
MA,Product 806,50,17.26
GH,Product 807,90,56.37
ZA,Product 808,77,35.30
GH,Product 809,41,66.87
KE,Product 810,19,64.49
NG,Product 811,18,53.41
MA,Product 812,99,36.64
MA,Product 813,33,85.41
GH,Product 814,31,14.63
NG,Product 815,76,94.68
ZA,Product 816,26,89.67
NG,Product 817,22,21.97
ZA,Product 818,24,57.37
ZA,Product 819,51,68.98
ZA,Product 820,23,20.30
ZA,Product 821,79,66.22
GH,Product 822,7,34.89
ZA,Product 823,45,25.54
KE,Product 824,87,71.44
ZA,Product 825,9,65.35
MA,Product 826,57,44.11
MA,Product 827,1,71.36
KE,Product 828,59,74.28
NG,Product 829,16,90.69
ZA,Product 830,11,98.93
NG,Product 831,62,73.77
KE,Product 832,26,86.02
KE,Product 833,69,31.20
MA,Product 834,18,97.21
NG,Product 835,39,74.74
KE,Product 836,1,73.02
GH,Product 837,88,20.18
ZA,Product 838,23,2.43
KE,Product 839,13,72.14
MA,Product 840,71,70.59
ZA,Product 841,92,88.33
KE,Product 842,52,45.96
NG,Product 843,42,62.12
MA,Product 844,28,53.68
ZA,Product 845,41,78.13
KE,Product 846,41,19.72
NG,Product 847,65,13.30
KE,Product 848,33,25.78
NG,Product 849,48,21.58
ZA,Product 850,62,80.87
NG,Product 851,2,17.85
KE,Product 852,75,73.24
GH,Product 853,60,66.86
ZA,Product 854,82,11.24
NG,Product 855,87,16.89
GH,Product 856,77,30.29
GH,Product 857,7,64.89
ZA,Product 858,68,74.94
NG,Product 859,40,58.15
MA,Product 860,93,35.47
MA,Product 861,53,74.33
MA,Product 862,70,50.28
KE,Product 863,54,38.47
NG,Product 864,59,45.34
GH,Product 865,63,88.43
MA,Product 866,77,87.93
NG,Product 867,22,57.52
KE,Product 868,80,43.05
ZA,Product 869,84,46.66
KE,Product 870,84,16.69
MA,Product 871,13,94.72
MA,Product 872,6,33.95
MA,Product 873,15,18.83
NG,Product 874,74,56.23
ZA,Product 875,26,99.77
MA,Product 876,24,74.54
ZA,Product 877,8,10.81
KE,Product 878,64,21.68
NG,Product 879,40,3.77
ZA,Product 880,28,1.09
KE,Product 881,21,94.61
ZA,Product 882,98,33.01
ZA,Product 883,36,21.50
MA,Product 884,89,35.01
GH,Product 885,19,90.26
GH,Product 886,79,84.48
ZA,Product 887,92,68.81
KE,Product 888,93,16.96
ZA,Product 889,94,57.52
KE,Product 890,76,46.53
NG,Product 891,46,79.88
ZA,Product 892,97,11.99
KE,Product 893,58,79.03
KE,Product 894,81,54.70
MA,Product 895,27,39.60
ZA,Product 896,23,72.13
NG,Product 897,74,86.06
KE,Product 898,52,40.48
GH,Product 899,93,91.98
MA,Product 900,83,50.58
ZA,Product 901,8,65.37
KE,Product 902,44,80.38
GH,Product 903,12,56.90
GH,Product 904,8,62.46
MA,Product 905,38,19.05
NG,Product 906,23,26.36
NG,Product 907,32,22.26
ZA,Product 908,5,79.09
NG,Product 909,51,84.73
NG,Product 910,17,7.79
GH,Product 911,47,7.72
NG,Product 912,34,55.91
GH,Product 913,7,57.94
NG,Product 914,3,91.35
MA,Product 915,12,59.26
NG,Product 916,24,52.16
MA,Product 917,16,33.97
KE,Product 918,64,92.73
NG,Product 919,56,26.57
MA,Product 920,70,47.05
GH,Product 921,8,71.32
KE,Product 922,24,36.45
MA,Product 923,16,77.01
MA,Product 924,79,5.25
NG,Product 925,19,47.52
KE,Product 926,9,22.61
KE,Product 927,21,58.11
GH,Product 928,39,83.15
KE,Product 929,45,36.92
ZA,Product 930,77,57.81
NG,Product 931,30,11.51
NG,Product 932,6,37.55
KE,Product 933,85,5.11
GH,Product 934,90,67.99
NG,Product 935,38,1.12
GH,Product 936,60,43.74
GH,Product 937,19,7.39
KE,Product 938,54,52.59
ZA,Product 939,70,33.44
NG,Product 940,39,55.76
NG,Product 941,24,70.94
GH,Product 942,31,56.71
NG,Product 943,77,69.88
ZA,Product 944,52,97.48
NG,Product 945,99,42.69
ZA,Product 946,80,34.89
KE,Product 947,34,6.10
MA,Product 948,74,49.41
NG,Product 949,18,88.70
GH,Product 950,44,91.96
KE,Product 951,67,98.61
NG,Product 952,9,67.37
GH,Product 953,95,52.33
GH,Product 954,4,21.23
MA,Product 955,45,69.46
ZA,Product 956,79,94.30
KE,Product 957,36,69.75
GH,Product 958,96,74.81
KE,Product 959,88,81.42
NG,Product 960,51,40.50
GH,Product 961,41,95.06
NG,Product 962,6,63.96
ZA,Product 963,59,66.89
NG,Product 964,74,20.72
KE,Product 965,18,15.06
GH,Product 966,51,82.99
NG,Product 967,48,23.75
MA,Product 968,8,95.62
KE,Product 969,79,1.13
MA,Product 970,23,12.86
ZA,Product 971,0,57.95
ZA,Product 972,63,75.43
KE,Product 973,31,57.96
NG,Product 974,28,77.80
ZA,Product 975,69,63.09
NG,Product 976,18,84.23
ZA,Product 977,54,19.90
MA,Product 978,38,40.62
KE,Product 979,42,40.74
NG,Product 980,28,7.50
GH,Product 981,59,93.32
GH,Product 982,33,44.05
